Country,Country Code,slqi_rank,slqi_score,economic_score,health_education_score,infrastructure_score,governance_score,environment_score
Liechtenstein,LIE,1,0.8437076622032934,0.8349276037212744,0.8356676355227937,0.9998140758306215,0.9329303382336086,0.6151986577081686
Monaco,MCO,2,0.8391431704799408,0.9290044171957422,1.0,1.0,0.8796386311766765,0.387072804027285
Finland,FIN,3,0.8367616576858559,0.6281996439813596,0.8826772140807613,0.9979471775209284,0.907696374376242,0.7672878784699876
Sweden,SWE,4,0.8276054566057456,0.6309719178031962,0.8761685253379705,0.9940868876228185,0.8636648933312645,0.7731350589334776
Norway,NOR,5,0.8160416164062445,0.7073875772232259,0.8113966653421449,0.9927379871886112,0.9094100517094502,0.6592758005677901
Iceland,ISL,6,0.7992559360301501,0.7064951960064166,0.7822286189499138,0.9954560202277222,0.8925546664452302,0.6195451785214677
Luxembourg,LUX,7,0.7911412723892308,0.7448469072144773,0.7872002474035497,0.9910800050331569,0.9223930208306846,0.5101861814642855
Switzerland,CHE,8,0.7873041414753735,0.727002502776541,0.7831919538870857,0.9996276550575035,0.9005047542422777,0.5261938414134599
Denmark,DNK,9,0.7842923893984318,0.6785639781876428,0.8273578280464431,0.9985022910052689,0.9086266026246798,0.5084112471281245
Japan,JPN,10,0.7832035623499791,0.6595659246589713,0.7777194559875117,0.9955559434894047,0.9109836794009448,0.5721928082130631
New Zealand,NZL,11,0.7821576078130859,0.6571858708047871,0.78681280664829,1.0,0.906661194383901,0.5601281672284509
Austria,AUT,12,0.7673996927865665,0.6630652044272933,0.7427413192148424,0.9998962487273554,0.831715439074325,0.5995802524890158
Australia,AUS,13,0.7652636982575103,0.6822248038330292,0.8601814396247698,0.9998426374498858,0.8606220111174444,0.4234475992624221
Estonia,EST,14,0.7615226318067098,0.6079617480480696,0.7258741002014312,0.996361424499188,0.8163448047748663,0.6610710815099933
Andorra,AND,15,0.7599231694057574,0.6525245619352543,0.7813453645507277,1.0,0.8649266527152176,0.5008192678275872
Singapore,SGP,16,0.759456312060079,0.7251750806184255,0.7718713525254868,1.0,0.9265008584751326,0.37373426868135007
Ireland,IRL,17,0.7583106705981436,0.7362137505649645,0.8552568963789835,0.9467553081256153,0.8489647615851719,0.4043626363359824
Canada,CAN,18,0.7559407432016272,0.6481969698078598,0.7564279042756008,0.9858882923308818,0.8411444313526527,0.5480461182411406
Netherlands,NLD,19,0.7553397297167125,0.6876803282713801,0.8611362752950883,0.9912863624378138,0.8469128017867642,0.3896828807925156
Slovenia,SVN,20,0.7532307283039947,0.6511868010932643,0.7698613405442711,0.991515389452225,0.762394707499225,0.5911954029309884
Costa Rica,CRI,21,0.7459087105322729,0.6051464341269287,0.7953236066619223,0.9945396928370177,0.7087613250680201,0.6257724939674759
Portugal,PRT,22,0.7456122438243757,0.6176954760028562,0.8123726835938205,0.995040700455307,0.7449938827176407,0.5579584763522543
Belgium,BEL,23,0.742707826355849,0.6560248071236104,0.8839236902518355,0.9980895200747061,0.7481540392651101,0.42734707506398234
"Korea, Rep.",KOR,24,0.7392969346419689,0.6617667463880202,0.7543110184174828,0.998993605878514,0.7968157973620738,0.48459750516375383
