Country,Country Code,gdp_per_capita,inflation,unemployment_rate,life_expectancy,secondary_enrollment,electricity_access,drinking_water_access,sanitation_access,government_effectiveness,political_stability,rule_of_law,forest_area,pm25_exposure,renewable_energy,cluster
Bermuda,BMU,142855.374713782,3.117463837096035,5.1895,82.49,74.3967514038086,100.0,100.0,99.9416526015971,1.4756305,0.9711697,0.8001056,18.5185185185185,7.33600052500811,0.9,1
Bhutan,BTN,3831.32535494609,2.76131569624097,3.282,73.262,86.1810001963554,100.0,99.5465791835972,86.8421082075035,0.5808357,1.3541153,0.7902665,71.60513896172,23.9456576369223,82.5,2
Bolivia,BOL,4421.16609889999,5.09976568317427,3.274,68.739,90.5272216796875,99.8,93.3877494672031,71.5839204142996,-0.6104172,-0.5460357,-1.267722,46.3457431920982,22.879459074231,12.8,2
Bosnia and Herzegovina,BIH,9358.78768951134,1.69212733599723,10.69,78.044,87.8663787841797,100.0,96.0873127231219,92.9912822357176,-0.6353163,-0.5010614,-0.319134,42.7326171875,26.6019532713554,36.6,2
Botswana,BWA,7695.75319445165,2.81835131676251,23.81,69.293,70.6292572021484,76.0,91.7713640807246,72.115456599001,0.4168893,1.0322942,0.3120842,26.2908263194114,18.9057549925814,27.4,3
Brazil,BRA,10310.5488778166,4.36746407652336,6.801,76.023,104.144660949707,99.8,99.9999987323028,92.4012701604853,-0.224002999999999,-0.5205702,-0.446218,58.9818729765235,12.1793252040724,46.5,2
Brunei Darussalam,BRN,33153.4738913513,-0.38867416503646,5.18,75.501,91.8381544399811,100.0,100.0,100.0,0.8351988,1.2027245,0.5876078,72.1062618595825,7.59726503432135,0.0,1
Bulgaria,BGR,17596.0173663521,2.44651943006078,4.2,75.7609756097561,94.7816314697266,100.0,99.1852515713458,86.0765607063355,0.0428203,0.0399268,-0.0333423,36.2196020633751,17.1474236131426,20.4,2
Burkina Faso,BFA,981.992649769081,4.19081721344523,3.441,61.292,29.9905774531085,21.7,49.9986600107497,31.7963485938203,-0.8748674,-1.9063314,-0.883858599999999,22.172514619883,58.4706762025055,71.4,0
Burundi,BDI,219.424830882698,20.2124925027847,0.915,63.818,44.9151717353101,11.6,65.9191041847553,44.6339890793582,-1.0060869,-1.3763566,-1.3028277,10.8894080996885,29.6541345084659,83.0,0
Cabo Verde,CPV,5192.48157325878,1.0481698336865,11.883,76.224,96.4315940376876,98.6,92.2800892661912,83.1279216157097,0.4151952,0.7695825,0.424201,11.5682382133995,42.3225220905558,21.8,2
