Country Name,Country Code,Series Name,Series Code,2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
"Bahamas, The",BHS,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,..,..,..,..,..,..
Bahrain,BHR,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..,..
Bahrain,BHR,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,99.9198990209829,99.9198990209829,99.9198990209829,99.9198990209829,99.9198990209829,..
Bahrain,BHR,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,100,100,100,100,100,..
Bangladesh,BGD,Access to electricity (% of population),EG.ELC.ACCS.ZS,96.2,99,99.4,99.5,..,..
Bangladesh,BGD,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,98.2725719690138,98.4379436580879,98.5792972461401,98.6816683567859,98.7825421934741,..
Bangladesh,BGD,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,59.7111659386902,61.6770898454809,63.6502711298232,65.6304136319171,67.6171751221237,..
Barbados,BRB,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..,..
Barbados,BRB,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,99.0199303950083,99.0674985116994,99.1150666283904,99.1626347450814,99.1626347450814,..
Barbados,BRB,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,97.3312392700884,97.3330327442074,98.0924623115578,98.0924623115578,98.0924623115578,..
Belarus,BLR,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..,..
Belarus,BLR,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,99.2623480849323,99.3932172039885,99.8584120587223,99.8755846398108,99.8924920429612,..
Belarus,BLR,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,99.5940049296976,99.6591219571066,99.6897638568081,99.7199437262096,99.7473526999237,..
Belgium,BEL,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..,..
Belgium,BEL,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,100,99.9999987625062,100,99.9999973101139,100,..
Belgium,BEL,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,99.4862025266725,99.486206436114,99.4862152277247,99.4862165648512,99.486220664134,..
Belize,BLZ,Access to electricity (% of population),EG.ELC.ACCS.ZS,96.8,97.7,98.6,99.6,..,..
Belize,BLZ,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,94.3918809907388,94.6148163127858,94.7220374936113,94.8298821080115,94.8473253067341,..
Belize,BLZ,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,84.1193982319828,84.1586414948366,84.2021316466722,84.2497280854857,84.3017658171591,..
Benin,BEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,41,42,56.5,57,..,..
Benin,BEN,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,68.3129505616936,68.6381245479094,68.9589815769274,69.2752913846942,69.5868397867067,..
Benin,BEN,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,19.501704357901,20.1721169387367,20.853650768615,21.5460291941212,22.248968702791,..
Bermuda,BMU,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..,..
Bermuda,BMU,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,100,100,100,100,100,..
Bermuda,BMU,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,99.9416526015971,99.9416526015971,99.9416526015971,99.9416526015971,99.9416526015971,..
Bhutan,BTN,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..,..
Bhutan,BTN,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,99.0775205402574,99.1933487306505,99.3108092905856,99.4298614038042,99.5465791835972,..
Bhutan,BTN,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,80.5347803811223,82.1461906791953,83.7339782184806,85.2990010822165,86.8421082075035,..
Bolivia,BOL,Access to electricity (% of population),EG.ELC.ACCS.ZS,97.2,98.6,99.9,99.8,..,..
Bolivia,BOL,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,91.6695086739786,92.1056066930792,92.5375227246145,92.9647725892341,93.3877494672031,..
Bolivia,BOL,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,65.4426819747995,67.2484529429256,69.0727323107113,70.4335419312464,71.5839204142996,..
Bosnia and Herzegovina,BIH,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..,..
Bosnia and Herzegovina,BIH,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,96.1287930670731,96.1188407812551,96.1086192936171,96.0981021077665,96.0873127231219,..
Bosnia and Herzegovina,BIH,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,..,..,..,..,..,..
Botswana,BWA,Access to electricity (% of population),EG.ELC.ACCS.ZS,71.8,73.7,75.9,76,..,..
Botswana,BWA,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,91.5461365187927,91.6110310251098,91.6703014636918,91.7236550803662,91.7713640807246,..
Botswana,BWA,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,70.3974291175514,70.9542350453954,71.4864919930582,71.9941392506475,72.115456599001,..
Brazil,BRA,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.7,99.5,100,99.8,..,..
Brazil,BRA,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,99.0720677672897,99.4272648803619,99.6149419025106,99.8980595100623,99.9999987323028,..
Brazil,BRA,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,89.5591441286736,90.3198016289812,91.0196550646128,91.7128476214348,92.4012701604853,..
British Virgin Islands,VGB,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..,..
British Virgin Islands,VGB,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,99.8643835616439,99.8643835616439,99.8643835616439,99.8643835616439,99.8643835616439,..
British Virgin Islands,VGB,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,..,..,..,..,..,..
Brunei Darussalam,BRN,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..,..
Brunei Darussalam,BRN,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,100,100,100,100,100,..
Brunei Darussalam,BRN,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,97.0475546033103,98.2641900046024,99.4808254058944,100,100,..
Bulgaria,BGR,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.7,99.8,100,100,..,..
Bulgaria,BGR,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,99.2544596990953,99.2363227360567,99.2187440542721,99.2017331871692,99.1852515713458,..
Bulgaria,BGR,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,86.0351484540034,86.0455390086067,86.0559026317979,86.0662621462475,86.0765607063355,..
Burkina Faso,BFA,Access to electricity (% of population),EG.ELC.ACCS.ZS,18.5,19,19.5,21.7,..,..
Burkina Faso,BFA,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,50.3862637931321,50.0752719507407,49.7662606215165,49.4606606678806,49.9986600107497,..
Burkina Faso,BFA,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,27.7597483878875,28.8068022658045,29.8585926182987,30.9150753845811,31.7963485938203,..
Burundi,BDI,Access to electricity (% of population),EG.ELC.ACCS.ZS,9.1,10.2,10.3,11.6,..,..
Burundi,BDI,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,64.4028716190814,65.0493033882129,65.6975597350143,65.8069881708757,65.9191041847553,..
Burundi,BDI,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,44.4548070620661,44.5545225988873,44.6569603684061,44.6456125902738,44.6339890793582,..
Cabo Verde,CPV,Access to electricity (% of population),EG.ELC.ACCS.ZS,93.7,95.5,97.1,98.6,..,..
Cabo Verde,CPV,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,88.5325658069206,89.2475125078835,90.0089261333879,91.14605423466,92.2800892661912,..
