Country_slqi,Country Code,slqi_rank,slqi_score,economic_score,health_education_score,infrastructure_score,governance_score,environment_score,Country_for_merge,Country_hdi,hdi_rank,hdi_2023
Tunisia,TUN,120,0.6441433340705476,0.4963440506453261,0.6341648117544422,0.9776286958900896,0.4303903894861436,0.309415455264892,Tunisia,Tunisia,105.0,0.746
Morocco,MAR,121,0.6397794178552991,0.565491284027065,0.6064296809069378,0.914191360236206,0.4984865553125463,0.3484732920851166,Morocco,Morocco,120.0,0.71
Marshall Islands,MHL,122,0.6395908198682314,0.6043662207312585,0.4607087191825579,0.8566903374557301,0.6905845005088603,0.5356453715152679,Marshall Islands,Marshall Islands,108.0,0.733
Uzbekistan,UZB,123,0.6369550946023226,0.5969802555116902,0.5819901095297166,0.9731210134659848,0.4836435849540285,0.2545146293955923,Uzbekistan,Uzbekistan,107.0,0.74
Ukraine,UKR,124,0.6362433584202957,0.551942947260447,0.5815724310408706,0.9577487175372702,0.4133131551027517,0.3817049723693062,Ukraine,Ukraine,87.0,0.779
"Venezuela, RB",VEN,125,0.6322419104556856,0.5990320434847066,0.5873290221947443,0.959474880985602,0.1307023845471423,0.5912811831402643,Venezuela (Bolivarian Republic of),Venezuela (Bolivarian Republic of),121.0,0.709
Kyrgyz Republic,KGZ,126,0.6317043943027405,0.6119253862924893,0.562262472409647,0.9683628887244294,0.3690464747983621,0.3731151740900951,Kyrgyzstan,Kyrgyzstan,117.0,0.72
Nepal,NPL,127,0.6307505632507994,0.5435528808470415,0.5315130763555971,0.893935941559653,0.4261372848891815,0.5655998470542865,Nepal,Nepal,145.0,0.622
Lao PDR,LAO,128,0.6295212981939253,0.6079275294591399,0.3852218964259323,0.9243281913333308,0.4889885458805234,0.683434913587693,Lao People's Democratic Republic,Lao People's Democratic Republic,147.0,0.617
Nicaragua,NIC,129,0.6289479665780803,0.5985746427591148,0.5364458148312674,0.9176648738215348,0.3362940234186879,0.5494212812901663,Nicaragua,Nicaragua,123.0,0.706
Algeria,DZA,130,0.6283275529926379,0.5383022278358303,0.6707469952170879,0.90831006674238,0.4210872757058946,0.2507808017688682,Algeria,Algeria,96.0,0.763
Philippines,PHL,131,0.6272971876631974,0.6287497661504945,0.5042760517148407,0.9237207475928044,0.4541998821768707,0.4526212595288264,Philippines,Philippines,117.0,0.72
Turkmenistan,TKM,132,0.6245608558293372,0.614654146462653,0.5384064804414883,0.998611803436609,0.3763543408198972,0.303578699311054,Turkmenistan,Turkmenistan,95.0,0.764
India,IND,133,0.6212115051659166,0.6057204956155258,0.5170369241313871,0.9142835655113484,0.5149488003636147,0.3600065910466743,India,India,130.0,0.685
Honduras,HND,134,0.6172302302973829,0.5999478407249916,0.4448674927264391,0.9165212210530398,0.3653708171080045,0.6267547301655957,Honduras,Honduras,139.0,0.645
Gabon,GAB,135,0.6155970263876589,0.463819462562876,0.5054848795467966,0.7617254680940683,0.3932971813160388,0.8670493242780402,Gabon,Gabon,108.0,0.733
Vanuatu,VUT,136,0.6127740184429874,0.5897350260865323,0.690153107011414,0.6038905494244088,0.5941630434495352,0.509753082574381,Vanuatu,Vanuatu,146.0,0.621
El Salvador,SLV,137,0.6125243078638589,0.6237554724118678,0.4666600165566601,0.9061113092550248,0.4787010962722686,0.4434146562555086,El Salvador,El Salvador,132.0,0.678
Tajikistan,TJK,138,0.6067945082472319,0.5790882702036179,0.5405469709238166,0.9290573920501446,0.3886528644734121,0.3313762844244665,Tajikistan,Tajikistan,128.0,0.691
Timor-Leste,TLS,139,0.6062025796033921,0.6338855863346682,0.4704485155608614,0.8336977530750996,0.4720535687788668,0.5384140337487129,Timor-Leste,Timor-Leste,142.0,0.634
Mongolia,MNG,140,0.6060322277423755,0.5991179880535572,0.5798805882185273,0.832287781777261,0.543534109225922,0.2729320103626337,Mongolia,Mongolia,104.0,0.747
"Iran, Islamic Rep.",IRN,141,0.6058241775951577,0.5307541215128974,0.6278984347251562,0.9533875556844844,0.2763150408644644,0.2461047479420406,Iran (Islamic Republic of),Iran (Islamic Republic of),75.0,0.799
Cambodia,KHM,142,0.6000992957243055,0.6494443367302889,0.4325532748467119,0.831535239497629,0.452807348728867,0.586714702924296,Cambodia,Cambodia,151.0,0.606
