Country_slqi,Country Code,slqi_rank,slqi_score,economic_score,health_education_score,infrastructure_score,governance_score,environment_score,Country_for_merge,Country_hdi,hdi_rank,hdi_2023
Uruguay,URY,27,0.7796379410936555,0.591458431331409,0.7440950889554443,0.9949386467972896,0.7731704917561856,0.5520426898084442,Uruguay,Uruguay,48.0,0.862
Germany,DEU,28,0.7771631761883164,0.6789203886417877,0.7226509499164935,0.9971254371702672,0.8017389905922626,0.4871824840618002,Germany,Germany,5.0,0.959
United Kingdom,GBR,30,0.7703330599129458,0.6648719172765993,0.7702368203943581,0.99666325540805,0.7568842221841082,0.4016214141129812,United Kingdom,United Kingdom,13.0,0.946
France,FRA,31,0.7690903343664135,0.6290736201593443,0.7683936987182342,0.9949591221993032,0.6967031629691564,0.4844776775322965,France,France,26.0,0.92
Lithuania,LTU,32,0.7678730485304415,0.6168529468592533,0.6810704282122924,0.9861767681695224,0.8187990475109612,0.5546249186888504,Lithuania,Lithuania,39.0,0.895
Italy,ITA,33,0.7675183940458234,0.6326028300889724,0.7736184543936386,0.9991420452284736,0.6800966741035666,0.4694364002317168,Italy,Italy,29.0,0.915
Czechia,CZE,34,0.7655523890217066,0.658266599124547,0.7013996949720456,0.989981697422236,0.8048100131759998,0.4772653960971163,Czechia,Czechia,29.0,0.915
Cyprus,CYP,35,0.7586043430570217,0.6448998976159211,0.7597210917294834,0.9966123856777284,0.6973425155170223,0.417419551638085,Cyprus,Cyprus,32.0,0.913
San Marino,SMR,36,0.7567012916880371,0.6674669491351862,0.6730507701757046,0.9999999802263868,0.8123126253858771,0.4412831856400627,San Marino,San Marino,29.0,0.915
Latvia,LVA,37,0.7562814220591728,0.608669318864122,0.6574278104406216,0.9658790657756668,0.7376167502993818,0.6518660984197784,Latvia,Latvia,41.0,0.889
United States,USA,38,0.7547411323217975,0.7048484128888175,0.6838718757828584,0.9984792084839396,0.7185483040604498,0.4784581342920593,United States,United States,17.0,0.938
Malta,MLT,39,0.7546078253251982,0.6685503967098588,0.765568345073683,1.0,0.7140744002157686,0.3398074806649477,Malta,Malta,24.0,0.924
Chile,CHL,43,0.7481048256711497,0.5789984485510554,0.7488217925747531,0.995238073235128,0.6842400129333187,0.4290067942205473,Chile,Chile,45.0,0.878
Croatia,HRV,44,0.7477057360352604,0.6253132285720459,0.7088133126519127,0.9734364330254652,0.6758347754001001,0.5274951544321824,Croatia,Croatia,41.0,0.889
Bhutan,BTN,45,0.7468429252714744,0.6187890089875142,0.5591689488986795,0.9487227305604756,0.7581808058544968,0.7924626643786802,Bhutan,Bhutan,125.0,0.698
Brunei Darussalam,BRN,46,0.7465812771675977,0.6389434524799594,0.6125303604825704,1.0,0.7495947326442063,0.576590759187998,Brunei Darussalam,Brunei Darussalam,60.0,0.837
Greece,GRC,49,0.7439530776205086,0.577827534266577,0.7550118357141666,0.9963085244332538,0.5967712684897779,0.4750568391743869,Greece,Greece,34.0,0.908
United Arab Emirates,ARE,50,0.7414815474546577,0.6849950322683465,0.7644486187093789,0.996604572304295,0.7423835795742816,0.2220569999171907,United Arab Emirates,United Arab Emirates,15.0,0.94
St. Kitts and Nevis,KNA,51,0.7410416624660695,0.6225389855363602,0.7091501341145239,0.9588910894663552,0.71669695406898,0.4724723581854851,Saint Kitts and Nevis,Saint Kitts and Nevis,58.0,0.84
Slovak Republic,SVK,54,0.7355307703925091,0.6249732294383921,0.6619289767211893,0.9897548464492408,0.6904708672622849,0.4930511360546544,Slovakia,Slovakia,44.0,0.88
Montenegro,MNE,56,0.7340349387597085,0.5330398774105398,0.6565779803165386,0.9882713101993512,0.6154728039735726,0.6330349551190108,Montenegro,Montenegro,48.0,0.862
Israel,ISR,57,0.7323755562385527,0.6736301536373258,0.7549248052644435,0.999702808531432,0.6034694504717132,0.3206922611020034,Israel,Israel,27.0,0.919
Samoa,WSM,58,0.7320084985112293,0.6062507917480076,0.5575060960429362,0.986315663704315,0.7590439477285417,0.6292019950198123,Samoa,Samoa,122.0,0.708
Albania,ALB,59,0.7319880729036871,0.556774752083843,0.7328297192576932,0.972102282344902,0.5638134586296447,0.53505985613385,Albania,Albania,71.0,0.81
Poland,POL,60,0.7296695502536704,0.6465382333068603,0.7098623569614224,0.9449382723770404,0.6824739501858991,0.4413629706237378,Poland,Poland,35.0,0.906
Antigua and Barbuda,ATG,61,0.7279441506827391,0.6182619232229073,0.7029800666193036,0.9929508717662352,0.7104061785948182,0.338518333703761,Antigua and Barbuda,Antigua and Barbuda,53.0,0.851
Palau,PLW,62,0.72575152031751,0.6147703140682977,0.5290514469627039,0.9939498457618936,0.736597650961856,0.6458963563268172,Palau,Palau,84.0,0.786
Hungary,HUN,63,0.7243178235895136,0.628213743653039,0.6817057460905541,0.992464967730474,0.6345113968252638,0.4271235036940781,Hungary,Hungary,46.0,0.87
Seychelles,SYC,64,0.7197617281691034,0.6201306097622957,0.5572933395561479,0.9871062674023872,0.7126995953465033,0.5834923053555857,Seychelles,Seychelles,54.0,0.848
Barbados,BRB,65,0.7191776735457758,0.616407620235768,0.6659483192606899,0.9885671814824972,0.7487292909063271,0.3258191177552921,Barbados,Barbados,69.0,0.811
Brazil,BRA,66,0.7176799937548247,0.5900007112034987,0.660369502370904,0.971039521120306,0.456193021441921,0.6721884158054917,Brazil,Brazil,84.0,0.786
Qatar,QAT,67,0.7165964077019894,0.7357660179809811,0.7476466593990416,0.9997068917319192,0.7527894021025597,0.039302201661461,Qatar,Qatar,43.0,0.886
Panama,PAN,68,0.7160757130899382,0.5895912426061501,0.6822471669110551,0.9241762443418255,0.5661410450905365,0.6017893912658567,Panama,Panama,59.0,0.839
St. Vincent and the Grenadines,VCT,69,0.7149873792077343,0.4833815408057301,0.6543158907392064,0.9588910894663552,0.687727448078987,0.5301867590242989,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,76.0,0.798
Malaysia,MYS,70,0.7119926564982156,0.6239891517446515,0.5959943504292008,0.9745371990635062,0.6735049877622848,0.5160568554106375,Malaysia,Malaysia,67.0,0.819
Grenada,GRD,71,0.7073747513220876,0.6118910229094291,0.6390795901901238,0.9377754496635516,0.684624709980632,0.4695695371863153,Grenada,Grenada,80.0,0.791
Kuwait,KWT,72,0.7054411459275757,0.6629740569572155,0.7576581236130512,1.0,0.6135652524517204,0.1320767685345378,Kuwait,Kuwait,52.0,0.852
Dominica,DMA,74,0.7041046569651889,0.6082562913018049,0.5811367255143269,0.9583663075155404,0.6856489271242004,0.5238718590494545,Dominica,Dominica,98.0,0.761
Mauritius,MUS,76,0.7017145551777485,0.6051439432063807,0.5820775624966734,0.989853613999412,0.7166642903349594,0.4141410957202727,Mauritius,Mauritius,73.0,0.806
Colombia,COL,77,0.7012257913762039,0.5567958509717865,0.6817461022132887,0.9676624797078508,0.4210505383682069,0.583773672983016,Colombia,Colombia,83.0,0.788
Romania,ROU,78,0.6942824246480377,0.6129040846760807,0.5946744909219654,0.9648282059294204,0.6209929376026081,0.4799484432308174,Romania,Romania,55.0,0.845
Viet Nam,VNM,79,0.693258021016002,0.6348066288063083,0.6055969897904421,0.9759452461565228,0.5169696857635628,0.5184615632449822,Viet Nam,Viet Nam,93.0,0.766
Saudi Arabia,SAU,80,0.6927892025950122,0.6542938078789176,0.7278055959923218,0.9861323442900956,0.6197260744165195,0.1347968570661155,Saudi Arabia,Saudi Arabia,37.0,0.9
Thailand,THA,81,0.6923034310893209,0.6490193497204734,0.6313675255099734,0.99758479974517,0.4976247860604905,0.4271472042110473,Thailand,Thailand,76.0,0.798
Oman,OMN,82,0.6908841039778608,0.6417224226791048,0.6975717134545649,0.9594880823245672,0.6743788400627165,0.1895806464453554,Oman,Oman,50.0,0.858
Fiji,FJI,83,0.6906629988556112,0.6000930710474485,0.5065429583978025,0.9475820044466956,0.6716366378642397,0.6244713814525394,Fiji,Fiji,111.0,0.731
"Bahamas, The",BHS,84,0.6905932158684271,0.60772994170256,0.5603224236971256,0.9588910894663552,0.7018205821550912,0.4585538695057551,Bahamas,Bahamas,66.0,0.82
