Country Name,Country Code,Series Name,Series Code,2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
"Bahamas, The",BHS,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,72.6381880061026,..,87.1455240465819,79.4858750299258,..
"Bahamas, The",BHS,"School enrollment, tertiary (% gross)",SE.TER.ENRR,..,..,..,..,..,..
Bahrain,BHR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.683,78.083,80.992,81.284,81.423,..
Bahrain,BHR,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,103.393222951005,104.392938701638,98.8139181413527,..
Bahrain,BHR,"School enrollment, tertiary (% gross)",SE.TER.ENRR,54.4077922369055,47.5015525503536,50.3073760962771,57.0562240948353,58.3677241853667,..
Bangladesh,BGD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.421,71.103,74.265,74.672,74.93,..
Bangladesh,BGD,"School enrollment, secondary (% gross)",SE.SEC.ENRR,66.4329548486639,66.8282318620991,67.0384586440383,65.9856598598849,64.2997191043961,..
Bangladesh,BGD,"School enrollment, tertiary (% gross)",SE.TER.ENRR,22.6923019564501,23.9006822335243,23.5005059888653,24.2003442708621,23.7295608009814,..
Barbados,BRB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.647,76.58,75.676,76.178,76.332,..
Barbados,BRB,"School enrollment, secondary (% gross)",SE.SEC.ENRR,104.318992614746,103.569473266602,104.222328186035,102.513702392578,104.371182990274,..
Barbados,BRB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,52.971630831,54.672,55.0600902713579,54.2600399378744,53.5815662047086,50.801079116886
Belarus,BLR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.1385609756098,72.0714634146342,74.1033658536585,74.1837804878049,74.3653414634147,..
Belarus,BLR,"School enrollment, secondary (% gross)",SE.SEC.ENRR,100.575710351095,100.42063921059,99.0602032881737,97.4265999006565,94.7902702871216,..
Belarus,BLR,"School enrollment, tertiary (% gross)",SE.TER.ENRR,79.900160036935,78.6027133367864,77.0977334087936,72.8250212584046,70.1107509145358,..
Belgium,BEL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.6951219512195,81.790243902439,81.7487804878049,82.4,82.3,..
Belgium,BEL,"School enrollment, secondary (% gross)",SE.SEC.ENRR,151.727508544922,143.163513183594,142.918075561523,142.960266113281,..,..
Belgium,BEL,"School enrollment, tertiary (% gross)",SE.TER.ENRR,79.4996032714844,82.6882019042969,83.5736465454102,82.1475601196289,..,..
Belize,BLZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.58,70.917,72.19,73.566,73.739,..
Belize,BLZ,"School enrollment, secondary (% gross)",SE.SEC.ENRR,86.1886596150512,88.8215546932903,87.4381668552162,83.619553808705,86.4571583269413,..
Belize,BLZ,"School enrollment, tertiary (% gross)",SE.TER.ENRR,25.9421694120047,23.6813942822198,23.9767727412258,22.3734089825019,24.8098643151325,..
Benin,BEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.154,59.61,60.475,60.774,60.961,..
Benin,BEN,"School enrollment, secondary (% gross)",SE.SEC.ENRR,43.9858703613281,44.2737998962402,43.5606498718262,..,..,..
Benin,BEN,"School enrollment, tertiary (% gross)",SE.TER.ENRR,10.3808002471924,9.82796955108643,10.2350101470947,..,..,..
Bermuda,BMU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.456,81.745,82.062,82.309,82.49,..
Bermuda,BMU,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,74.3967514038086,..,..
Bermuda,BMU,"School enrollment, tertiary (% gross)",SE.TER.ENRR,..,..,..,17.3357105255127,..,..
Bhutan,BTN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.253,72.448,72.754,72.975,73.262,..
Bhutan,BTN,"School enrollment, secondary (% gross)",SE.SEC.ENRR,89.7711428873908,92.5248380307052,89.9829129407455,86.8564415582911,86.1810001963554,..
Bhutan,BTN,"School enrollment, tertiary (% gross)",SE.TER.ENRR,16.8650740250552,14.7382447141292,14.5780698560857,15.0074996948242,13.011259392916,..
Bolivia,BOL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.906,61.427,67.434,68.581,68.739,..
Bolivia,BOL,"School enrollment, secondary (% gross)",SE.SEC.ENRR,88.8672369779995,90.4144137410078,90.3729338176816,91.3676827044767,90.5272216796875,..
Bolivia,BOL,"School enrollment, tertiary (% gross)",SE.TER.ENRR,..,..,..,..,..,..
Bosnia and Herzegovina,BIH,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.04,74.567,76.777,77.85,78.044,..
Bosnia and Herzegovina,BIH,"School enrollment, secondary (% gross)",SE.SEC.ENRR,85.5591125488281,85.6761474609375,87.0373992919922,87.8663787841797,..,..
Bosnia and Herzegovina,BIH,"School enrollment, tertiary (% gross)",SE.TER.ENRR,43.8039207458496,45.0589485168457,45.6063499450684,45.5027618408203,..,..
Botswana,BWA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.643,63.303,68.749,69.163,69.293,..
Botswana,BWA,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,70.6292572021484,..,..,..,..
Botswana,BWA,"School enrollment, tertiary (% gross)",SE.TER.ENRR,22.4017870513653,21.2032904951187,20.7095613715302,20.5658232475186,21.4087908549348,..
Brazil,BRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.506,73.038,74.872,75.848,76.023,..
Brazil,BRA,"School enrollment, secondary (% gross)",SE.SEC.ENRR,103.882659912109,106.298461914062,105.702369689941,..,104.144660949707,..
Brazil,BRA,"School enrollment, tertiary (% gross)",SE.TER.ENRR,55.529109954834,57.6311988830566,61.0000915527344,..,69.7317733764648,..
British Virgin Islands,VGB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.894,75.297,77.177,77.276,77.431,..
British Virgin Islands,VGB,"School enrollment, secondary (% gross)",SE.SEC.ENRR,73.9501779359431,75.2016129032258,72.2840270996094,70.4463994786575,75.5833129882812,..
British Virgin Islands,VGB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,30.475763016158,30.3667262969589,29.0409725348942,26.6493055555556,29.5605306799337,..
Brunei Darussalam,BRN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.114,74.869,72.917,75.327,75.501,..
Brunei Darussalam,BRN,"School enrollment, secondary (% gross)",SE.SEC.ENRR,86.6857810342997,..,..,91.8381544399811,..,..
Brunei Darussalam,BRN,"School enrollment, tertiary (% gross)",SE.TER.ENRR,27.4692556634304,27.4258937503291,31.1925368707703,36.4182725443167,..,..
Bulgaria,BGR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.3560975609756,71.2121951219512,74.1609756097561,75.7560975609756,75.7609756097561,..
Bulgaria,BGR,"School enrollment, secondary (% gross)",SE.SEC.ENRR,101.354942321777,98.7087631225586,96.6720733642578,95.6239624023438,94.7816314697266,..
Bulgaria,BGR,"School enrollment, tertiary (% gross)",SE.TER.ENRR,85.5331115722656,85.3017501831055,84.1293563842773,79.8532333374023,69.5460433959961,..
